epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,423.234,1.35758,2.35401,4.64098,0.01392,1.35056,0.85873,0.83422,0.90653,0.5605,0.85836,0.83902,0.91274,0.55647,1.27258,1.74775,2.14478,0.01783,0,0.00999087,0.00333029,0.00999087,0.00333029,0.00999087,0.00333029,0.00999087,0.00333029
2,975.905,1.35356,1.83888,1.40631,0.01406,0.56047,0.86591,0.8822,0.93617,0.56889,0.88633,0.86035,0.93677,0.56813,1.3345,1.74125,0.84184,0.01892,0,0.019793,0.00659765,0.019793,0.00659765,0.019793,0.00659765,0.019793,0.00659765
3,1630.73,1.42617,1.86893,1.06589,0.01493,0.53982,0.87257,0.85776,0.93158,0.54722,0.87641,0.85802,0.93518,0.55316,1.42827,1.77629,0.69747,0.02048,0,0.029397,0.00979902,0.029397,0.00979902,0.029397,0.00979902,0.029397,0.00979902
4,2257.17,1.46037,1.86764,0.99709,0.01533,0.5239,0.9006,0.8758,0.94033,0.57619,0.89734,0.88531,0.9448,0.57697,1.34266,1.71127,0.65336,0.01922,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2939.89,1.43436,1.83525,0.9335,0.01499,0.49521,0.88005,0.8662,0.93527,0.53757,0.88125,0.87029,0.93899,0.54378,1.48575,1.76293,0.71093,0.02199,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,3624.33,1.43001,1.82748,0.89795,0.01481,0.4684,0.88213,0.85341,0.93261,0.56117,0.87544,0.86543,0.93154,0.5628,1.3971,1.76468,0.66904,0.02035,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,4309.52,1.41049,1.79489,0.87607,0.01459,0.45568,0.91519,0.90832,0.96372,0.60935,0.91765,0.91418,0.96546,0.61973,1.30522,1.62757,0.55777,0.01853,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,4962.41,1.3871,1.75584,0.83522,0.01421,0.42877,0.91159,0.92697,0.96502,0.6056,0.91526,0.9307,0.96672,0.61609,1.30654,1.63408,0.52122,0.01855,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,5536.6,1.39346,1.76947,0.79255,0.01432,0.43129,0.91947,0.91896,0.96327,0.61313,0.92108,0.92271,0.96652,0.61279,1.31957,1.65757,0.53781,0.01867,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,6033.45,1.36507,1.73415,0.80129,0.01396,0.41438,0.93402,0.89765,0.96807,0.61528,0.93723,0.89606,0.96925,0.61216,1.28013,1.63873,0.50081,0.01797,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,6627.46,1.35086,1.7256,0.79639,0.01371,0.41042,0.91709,0.92484,0.97179,0.61012,0.91762,0.9263,0.97106,0.61393,1.2709,1.64278,0.50561,0.0179,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
