epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,227.078,1.3071,2.35175,4.88429,0.01337,2.12925,0.4358,0.61672,0.519,0.31643,0.44316,0.61468,0.52277,0.31199,1.25933,1.7532,2.49273,0.01782,0,0.00999087,0.00333029,0.00999087,0.00333029,0.00999087,0.00333029,0.00999087,0.00333029
2,438.116,1.33239,1.824,1.72226,0.01377,1.40471,0.4607,0.66628,0.52533,0.31238,0.46438,0.66843,0.53077,0.31524,1.35062,1.75532,1.26797,0.01952,0,0.019793,0.00659765,0.019793,0.00659765,0.019793,0.00659765,0.019793,0.00659765
3,643.851,1.41086,1.85196,1.3569,0.0148,1.42944,0.49208,0.63981,0.53935,0.3031,0.49468,0.64071,0.54329,0.3004,1.44522,1.90225,1.19621,0.02092,0,0.029397,0.00979902,0.029397,0.00979902,0.029397,0.00979902,0.029397,0.00979902
4,851.562,1.44869,1.85649,1.2472,0.01518,1.39054,0.47563,0.72886,0.58272,0.34305,0.48285,0.72979,0.58821,0.34928,1.36649,1.73612,0.94997,0.0198,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1054.26,1.43258,1.82245,1.14788,0.01497,1.33426,0.51115,0.76534,0.60664,0.36165,0.51431,0.77058,0.61011,0.36019,1.38292,1.71848,0.84486,0.01974,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1258.73,1.4248,1.81395,1.11137,0.01475,1.32619,0.50431,0.72265,0.58695,0.34329,0.50885,0.72511,0.58899,0.34048,1.37904,1.78321,0.97896,0.02009,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1466.85,1.39997,1.7868,1.08184,0.0145,1.31577,0.52293,0.72442,0.60445,0.36235,0.52645,0.72903,0.60982,0.3681,1.3266,1.68107,0.85106,0.01909,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1675.08,1.38729,1.75081,1.07034,0.01422,1.29289,0.57983,0.74025,0.63503,0.38828,0.58166,0.74244,0.63729,0.39458,1.30803,1.64548,0.79127,0.01823,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1882.48,1.37317,1.75318,1.03915,0.01413,1.3095,0.56784,0.81089,0.6467,0.39412,0.56957,0.81366,0.65256,0.39739,1.32875,1.65088,0.74078,0.01903,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2089.65,1.36541,1.72873,1.01892,0.01403,1.27289,0.51655,0.76507,0.62742,0.38122,0.51442,0.76448,0.6308,0.3905,1.28961,1.62519,0.78321,0.01786,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2292.94,1.35767,1.72602,0.99445,0.01381,1.22926,0.57905,0.7862,0.64665,0.38999,0.58143,0.7896,0.64972,0.39368,1.2946,1.69727,0.727,0.01807,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2494.76,1.34545,1.7212,0.97087,0.01368,1.27387,0.56411,0.78727,0.63513,0.39899,0.56584,0.79129,0.63666,0.40227,1.27209,1.6026,0.70555,0.01785,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
