epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,255.494,1.37136,2.24058,4.48887,0.01393,3.17341,0.56235,0.64204,0.60123,0.32889,0.57248,0.64633,0.6098,0.33811,1.44348,1.93327,2.37958,0.0216,0,0.000554998,0.000554998,0.000554998
2,419.778,1.44827,1.99494,1.81846,0.01539,1.91756,0.49451,0.68324,0.59266,0.33664,0.50136,0.67711,0.5959,0.3409,1.38101,1.80213,1.35873,0.02139,0,0.00108867,0.00108867,0.00108867
3,708.942,1.46799,1.96106,1.51068,0.01546,1.82716,0.55379,0.67684,0.64716,0.36857,0.55397,0.69189,0.65258,0.38881,1.39587,1.73602,1.13328,0.0215,0,0.00160034,0.00160034,0.00160034
4,1030.26,1.51719,1.94548,1.41068,0.01609,1.77545,0.59132,0.65306,0.65922,0.38056,0.60323,0.65009,0.66121,0.37497,1.41122,1.9094,1.06457,0.02172,0,0.00156798,0.00156798,0.00156798
5,1348.79,1.44656,1.89622,1.32917,0.01529,1.75311,0.63732,0.72232,0.6921,0.39642,0.64447,0.7277,0.70009,0.41932,1.40283,1.72375,0.96546,0.02156,0,0.00153497,0.00153497,0.00153497
6,1666.24,1.45487,1.88337,1.28235,0.01524,1.71015,0.64786,0.71624,0.70977,0.40176,0.65146,0.71905,0.71652,0.41869,1.43576,1.77271,0.96595,0.02176,0,0.00150197,0.00150197,0.00150197
7,1981.5,1.43227,1.85624,1.24275,0.01496,1.65521,0.65765,0.72741,0.74994,0.4451,0.66619,0.73188,0.75646,0.45073,1.31115,1.64457,0.87622,0.01935,0,0.00146896,0.00146896,0.00146896
8,2297.52,1.4235,1.83184,1.20101,0.01487,1.54994,0.6573,0.70635,0.7056,0.40657,0.65891,0.70829,0.70588,0.42281,1.39718,1.73601,0.90743,0.02085,0,0.00143595,0.00143595,0.00143595
9,2612.69,1.42244,1.8298,1.18094,0.0148,1.56928,0.5525,0.70791,0.68685,0.42438,0.5464,0.71498,0.69089,0.42722,1.28486,1.65627,1.00507,0.01888,0,0.00140295,0.00140295,0.00140295
10,2929.12,1.41076,1.81432,1.15022,0.01461,1.52189,0.70438,0.78192,0.75931,0.44928,0.70488,0.78714,0.75852,0.46097,1.3746,1.62356,0.81188,0.02027,0,0.00136994,0.00136994,0.00136994
11,3246.64,1.39095,1.79483,1.11738,0.01449,1.45822,0.70279,0.75158,0.76719,0.46806,0.703,0.75208,0.76445,0.47229,1.27924,1.62769,0.81692,0.01914,0,0.00133693,0.00133693,0.00133693
12,3568.97,1.39237,1.80157,1.13875,0.01446,1.57039,0.66387,0.77471,0.76973,0.46535,0.67154,0.78084,0.77903,0.48668,1.28818,1.62473,0.76118,0.01871,0,0.00130393,0.00130393,0.00130393
13,3875.45,1.37492,1.78082,1.10225,0.01419,1.51674,0.70544,0.7644,0.76699,0.45726,0.70694,0.76753,0.77263,0.4714,1.36085,1.65963,0.78215,0.02017,0,0.00127092,0.00127092,0.00127092
