epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.93484,0.70485,0.552,1,0.69578,0.000550569,0.000550569,0.000550569
2,6.60273,0.70319,0.57867,1,0.72014,0.00108433,0.00108433,0.00108433
3,9.36524,0.71323,0.55733,1,0.68611,0.00159609,0.00159609,0.00159609
4,12.2049,0.75796,0.56,1,0.78532,0.00156798,0.00156798,0.00156798
5,14.9566,0.7089,0.42933,1,0.85822,0.00153497,0.00153497,0.00153497
6,17.7257,0.70541,0.54933,1,0.6971,0.00150197,0.00150197,0.00150197
7,20.5243,0.70104,0.55733,1,0.70248,0.00146896,0.00146896,0.00146896
8,23.3091,0.69393,0.55467,1,0.69085,0.00143595,0.00143595,0.00143595
9,26.1242,0.68481,0.528,1,0.69317,0.00140295,0.00140295,0.00140295
10,28.8894,0.67643,0.56267,1,0.68429,0.00136994,0.00136994,0.00136994
11,31.752,0.67386,0.432,1,0.75963,0.00133693,0.00133693,0.00133693
12,34.5281,0.67038,0.50933,1,0.75604,0.00130393,0.00130393,0.00130393
13,39.2963,0.68037,0.57333,1,0.70252,0.00127092,0.00127092,0.00127092
14,45.9489,0.66373,0.57067,1,0.69918,0.00123791,0.00123791,0.00123791
15,51.4238,0.66811,0.55733,1,0.69656,0.00120491,0.00120491,0.00120491
16,55.9147,0.65096,0.52533,1,0.72397,0.0011719,0.0011719,0.0011719
17,60.052,0.64968,0.544,1,0.70963,0.00113889,0.00113889,0.00113889
18,64.7375,0.64914,0.50133,1,0.7225,0.00110589,0.00110589,0.00110589
19,68.584,0.66133,0.56,1,0.6977,0.00107288,0.00107288,0.00107288
20,73.7245,0.64644,0.576,1,0.69838,0.00103987,0.00103987,0.00103987
21,78.481,0.63431,0.552,1,0.77154,0.00100687,0.00100687,0.00100687
22,83.2427,0.62847,0.56533,1,0.73008,0.000973861,0.000973861,0.000973861
23,87.6547,0.63607,0.552,1,0.72508,0.000940855,0.000940855,0.000940855
24,92.0833,0.61825,0.52267,1,0.73528,0.000907848,0.000907848,0.000907848
25,96.5214,0.60987,0.53867,1,0.77,0.000874842,0.000874842,0.000874842
26,100.743,0.60374,0.536,1,0.72151,0.000841835,0.000841835,0.000841835
27,104.906,0.60186,0.56,1,0.76988,0.000808828,0.000808828,0.000808828
28,109.153,0.5974,0.50133,1,0.77525,0.000775822,0.000775822,0.000775822
29,113.291,0.57901,0.48533,1,0.8256,0.000742815,0.000742815,0.000742815
30,117.589,0.56852,0.568,1,0.79437,0.000709809,0.000709809,0.000709809
31,121.686,0.5505,0.528,1,0.82039,0.000676802,0.000676802,0.000676802
32,126.012,0.5486,0.53067,1,0.81301,0.000643795,0.000643795,0.000643795
33,130.509,0.53917,0.544,1,0.79536,0.000610789,0.000610789,0.000610789
34,134.656,0.51112,0.536,1,0.87474,0.000577782,0.000577782,0.000577782
35,138.921,0.5349,0.52267,1,0.83925,0.000544776,0.000544776,0.000544776
36,142.983,0.50324,0.52533,1,0.89603,0.000511769,0.000511769,0.000511769
37,147.314,0.50362,0.50667,1,0.96681,0.000478762,0.000478762,0.000478762
38,151.897,0.47012,0.50133,1,0.90516,0.000445756,0.000445756,0.000445756
39,156.279,0.46569,0.512,1,0.8977,0.000412749,0.000412749,0.000412749
40,160.89,0.44826,0.57333,1,0.96277,0.000379743,0.000379743,0.000379743
41,191.381,0.45498,0.53333,1,0.97799,0.000346736,0.000346736,0.000346736
42,194.143,0.42756,0.55733,1,1.00018,0.000313729,0.000313729,0.000313729
43,196.915,0.41892,0.51733,1,1.05361,0.000280723,0.000280723,0.000280723
44,199.631,0.42218,0.53067,1,1.03232,0.000247716,0.000247716,0.000247716
45,202.384,0.40144,0.54667,1,1.0358,0.00021471,0.00021471,0.00021471
46,205.119,0.37797,0.544,1,1.06017,0.000181703,0.000181703,0.000181703
47,207.831,0.36865,0.51467,1,1.11213,0.000148696,0.000148696,0.000148696
48,212.342,0.3645,0.536,1,1.13081,0.00011569,0.00011569,0.00011569
49,218.19,0.36074,0.53333,1,1.14933,8.26832e-05,8.26832e-05,8.26832e-05
50,222.402,0.34556,0.528,1,1.17216,4.96766e-05,4.96766e-05,4.96766e-05
